127.0.0.1 - - [15/Jul/2022:14:57:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:57:48 +0530] "GET /Shopping_Cart/ HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:57:48 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:57:50 +0530] "GET /Shopping_Cart/LoginForm.html HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:57:58 +0530] "POST /Shopping_Cart/login HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:04 +0530] "GET /Shopping_Cart/disprod?cid=1000 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:07 +0530] "GET /Shopping_Cart/addcart?prod=1&prod=5 HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:09 +0530] "GET /Shopping_Cart/catagory HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:11 +0530] "GET /Shopping_Cart/disprod?cid=1001 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:14 +0530] "GET /Shopping_Cart/addcart?prod=3&prod=4 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:20 +0530] "GET /Shopping_Cart/catagory HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:35 +0530] "POST /Shopping_Cart/login HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:45 +0530] "GET /Shopping_Cart/addProduct.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:48 +0530] "GET /Shopping_Cart/edit?pid=1 HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [15/Jul/2022:14:58:51 +0530] "POST /Shopping_Cart/updateProduct HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:19 +0530] "GET /Shopping_Cart/ HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:19 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:26 +0530] "POST /Shopping_Cart/login HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:30 +0530] "GET /Shopping_Cart/disprod?cid=1001 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:32 +0530] "GET /Shopping_Cart/addcart?prod=3&prod=4 HTTP/1.1" 200 385
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:34 +0530] "GET /Shopping_Cart/catagory HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:37 +0530] "GET /Shopping_Cart/disprod?cid=1000 HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:39 +0530] "GET /Shopping_Cart/addcart?prod=1&prod=5 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:08:42 +0530] "GET /Shopping_Cart/catagory HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:09:01 +0530] "POST /Shopping_Cart/login HTTP/1.1" 200 2105
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:09:13 +0530] "GET /Shopping_Cart/addProduct.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:09:16 +0530] "GET /Shopping_Cart/addCatagory.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:09:20 +0530] "GET /Shopping_Cart/edit?pid=1 HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [15/Jul/2022:22:09:21 +0530] "POST /Shopping_Cart/updateProduct HTTP/1.1" 200 2105
